"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Gausman, Kevin",592332,TOR,FF,4-Seam Fastball,1.3,20,1627,53.7,437,0.23,0.38,0.306,16.9,19.0,17.7,0.259,0.466,0.342,46.6
"Parker, Mitchell",680730,WSH,FF,4-Seam Fastball,-0.4,-6,1501,55.5,417,0.269,0.447,0.358,10.7,8.9,10.1,0.306,0.529,0.394,54.2
"Ray, Robbie",592662,SF,FF,4-Seam Fastball,0.6,9,1593,51.9,415,0.208,0.357,0.3,23.5,26.0,20.7,0.209,0.387,0.303,44.6
"Soriano, José",667755,LAA,SI,Sinker,0.1,2,1368,49.1,412,0.29,0.38,0.357,16.1,7.8,13.3,0.286,0.413,0.353,54.7
"Nelson, Ryne",669194,AZ,FF,4-Seam Fastball,1.5,23,1526,61.9,405,0.207,0.36,0.281,19.1,22.7,17.4,0.244,0.412,0.313,45.4
"Peralta, Freddy",642547,MIL,FF,4-Seam Fastball,0.6,9,1651,53.5,395,0.209,0.381,0.314,22.8,23.5,17.6,0.237,0.46,0.349,41.8
"Valdez, Framber",664285,HOU,SI,Sinker,1.2,16,1321,45.7,383,0.276,0.376,0.332,13.0,8.4,19.8,0.304,0.455,0.363,50.6
"Sánchez, Cristopher",650911,PHI,SI,Sinker,1.4,19,1332,46.0,375,0.269,0.342,0.313,14.5,14.9,23.1,0.259,0.411,0.322,50.5
"Senzatela, Antonio",622608,COL,FF,4-Seam Fastball,-1.6,-21,1299,56.9,370,0.352,0.538,0.434,12.9,10.5,12.0,0.326,0.532,0.41,49.8
"Pivetta, Nick",601713,SD,FF,4-Seam Fastball,1.4,19,1350,47.4,359,0.187,0.333,0.266,25.3,30.9,25.9,0.213,0.44,0.322,54.7
"Gallen, Zac",668678,AZ,FF,4-Seam Fastball,0.3,4,1410,45.0,354,0.247,0.418,0.326,12.9,17.8,16.3,0.264,0.499,0.357,52.5
"Ryan, Joe",657746,MIN,FF,4-Seam Fastball,1.2,17,1404,50.3,354,0.208,0.392,0.284,26.8,29.9,22.9,0.195,0.406,0.279,44.7
"Pallante, Andre",669467,STL,FF,4-Seam Fastball,-0.8,-10,1199,44.1,345,0.33,0.528,0.417,14.1,9.0,12.7,0.305,0.478,0.371,45.9
"Castillo, Luis",622491,SEA,FF,4-Seam Fastball,0.8,11,1383,46.3,344,0.203,0.411,0.294,26.5,26.5,17.7,0.194,0.409,0.287,49.6
"Abbott, Andrew",671096,CIN,FF,4-Seam Fastball,1.2,15,1263,47.2,330,0.232,0.365,0.302,19.9,23.0,18.5,0.224,0.384,0.303,40.7
"Boyd, Matthew",571510,CHC,FF,4-Seam Fastball,0.8,10,1294,47.1,327,0.25,0.401,0.3,15.6,16.2,14.1,0.272,0.468,0.336,45.7
"Rodriguez, Eduardo",593958,AZ,FF,4-Seam Fastball,-0.5,-7,1207,46.6,326,0.287,0.486,0.372,22.1,25.5,23.4,0.253,0.449,0.34,42.0
"Flaherty, Jack",656427,DET,FF,4-Seam Fastball,0.2,3,1327,46.9,323,0.264,0.444,0.348,17.0,22.9,19.2,0.264,0.477,0.352,47.7
"Bassitt, Chris",605135,TOR,SI,Sinker,0.2,2,1179,41.7,322,0.297,0.431,0.371,14.4,14.6,18.7,0.291,0.45,0.356,44.4
"Sánchez, Cristopher",650911,PHI,CH,Changeup,1.7,18,1084,37.4,318,0.17,0.243,0.207,45.1,40.9,29.8,0.183,0.235,0.203,25.7
"Cease, Dylan",656302,SD,FF,4-Seam Fastball,0.0,0,1283,42.1,314,0.241,0.417,0.341,25.7,23.6,18.7,0.215,0.385,0.316,40.3
"Holmes, Clay",605280,NYM,SI,Sinker,0.8,10,1129,40.8,314,0.287,0.391,0.363,16.4,10.8,19.2,0.273,0.405,0.362,51.3
"deGrom, Jacob",594798,TEX,FF,4-Seam Fastball,1.7,21,1203,46.0,310,0.189,0.393,0.275,21.5,24.5,20.5,0.216,0.423,0.3,43.9
"Gore, MacKenzie",669022,WSH,FF,4-Seam Fastball,0.0,0,1388,49.3,309,0.294,0.483,0.371,20.7,16.5,15.6,0.29,0.504,0.379,47.8
"Cease, Dylan",656302,SD,SL,Slider,0.3,4,1243,40.8,308,0.228,0.374,0.301,42.9,37.7,23.0,0.201,0.32,0.262,35.3
"Giolito, Lucas",608337,BOS,FF,4-Seam Fastball,0.4,5,1145,48.4,303,0.267,0.389,0.343,16.0,15.2,16.8,0.299,0.523,0.389,48.6
"Woo, Bryan",693433,SEA,FF,4-Seam Fastball,1.7,21,1284,47.3,299,0.153,0.332,0.241,28.7,31.8,22.2,0.177,0.356,0.259,37.4
"Hendricks, Kyle",543294,LAA,CH,Changeup,0.6,6,987,38.4,299,0.223,0.364,0.268,25.3,17.7,14.5,0.227,0.363,0.27,26.4
"Rodón, Carlos",607074,NYY,FF,4-Seam Fastball,0.5,7,1343,41.8,299,0.224,0.429,0.342,21.5,18.7,17.4,0.23,0.436,0.342,42.5
"Webb, Logan",657277,SF,SI,Sinker,0.7,8,1104,33.6,298,0.294,0.438,0.348,13.0,15.8,22.4,0.275,0.428,0.329,45.9
"Singer, Brady",663903,CIN,SI,Sinker,-0.5,-6,1157,40.6,297,0.269,0.469,0.37,17.1,23.9,21.3,0.253,0.443,0.357,49.4
"Pepiot, Ryan",686752,TB,FF,4-Seam Fastball,-0.2,-2,1213,45.0,296,0.235,0.444,0.361,25.4,25.0,19.3,0.211,0.381,0.33,46.5
"Gausman, Kevin",592332,TOR,FS,Split-Finger,0.8,9,1134,37.4,295,0.181,0.295,0.233,38.5,34.2,21.4,0.193,0.295,0.229,29.7
"Kikuchi, Yusei",579328,LAA,SL,Slider,0.4,4,1121,36.2,295,0.254,0.443,0.366,25.0,20.0,20.1,0.264,0.475,0.379,44.4
"Skenes, Paul",694973,PIT,FF,4-Seam Fastball,1.7,20,1167,38.9,294,0.205,0.347,0.28,29.6,34.7,26.2,0.2,0.368,0.28,53.3
"Warren, Will",701542,NYY,FF,4-Seam Fastball,1.0,11,1165,41.6,291,0.216,0.384,0.31,23.2,24.7,21.9,0.236,0.443,0.342,45.9
"Strider, Spencer",675911,ATL,FF,4-Seam Fastball,-0.6,-6,1081,51.2,290,0.294,0.472,0.374,15.3,13.8,18.1,0.301,0.533,0.392,43.3
"Smith, Shane",681343,CWS,FF,4-Seam Fastball,1.8,20,1089,45.0,285,0.192,0.304,0.275,25.3,26.0,23.6,0.199,0.344,0.286,39.9
"Priester, Quinn",682990,MIL,SI,Sinker,0.6,6,1029,41.7,284,0.269,0.375,0.334,13.6,13.4,18.5,0.272,0.387,0.328,41.5
"Rea, Colin",607067,CHC,FF,4-Seam Fastball,0.1,1,1051,41.5,282,0.281,0.474,0.36,17.0,16.7,17.1,0.276,0.492,0.357,49.1
"deGrom, Jacob",594798,TEX,SL,Slider,1.2,12,983,37.6,281,0.201,0.326,0.254,39.0,30.6,25.9,0.225,0.358,0.274,38.9
"Verlander, Justin",434378,SF,FF,4-Seam Fastball,-0.1,-1,1182,45.3,280,0.279,0.48,0.375,18.8,15.0,13.4,0.293,0.528,0.383,41.5
"Bello, Brayan",678394,BOS,SI,Sinker,0.8,7,943,35.0,280,0.251,0.305,0.337,10.8,14.3,19.1,0.27,0.361,0.335,39.8
"Hendricks, Kyle",543294,LAA,SI,Sinker,-0.8,-8,987,38.4,277,0.3,0.482,0.38,9.7,11.9,14.3,0.27,0.422,0.329,39.6
"Morton, Charlie",450203,ATL,CU,Curveball,-0.1,-1,976,38.3,275,0.228,0.386,0.318,37.9,32.4,23.2,0.207,0.353,0.291,35.1
"Paddack, Chris",663978,DET,FF,4-Seam Fastball,0.3,3,1109,43.2,275,0.261,0.434,0.324,18.5,18.9,13.4,0.26,0.469,0.332,47.8
"Springs, Jeffrey",605488,ATH,FF,4-Seam Fastball,-0.6,-7,1211,42.5,275,0.265,0.457,0.34,15.4,17.8,14.2,0.27,0.484,0.357,44.5
"Elder, Bryce",693821,ATL,SI,Sinker,-0.7,-7,1059,42.1,272,0.28,0.477,0.365,15.2,18.0,22.2,0.256,0.463,0.344,49.2
"Falter, Bailey",663559,KC,FF,4-Seam Fastball,0.2,2,992,50.8,272,0.253,0.44,0.338,15.8,13.6,12.9,0.26,0.453,0.341,44.9
